order_number,quantity,unit_price,line_number,status,product,msrp,product_code,customer_name,phone,address,city,state,postal_code,country,territory,month_relative,customer_id,contact
10342,40,100,2,Shipped,Classic Cars,141,S18_1129,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,6,6,Ferguson Peter
10356,43,97.6,8,Shipped,Classic Cars,141,S18_1129,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,5,48,Da Cunha Daniel
10365,30,87.06,1,Shipped,Classic Cars,141,S18_1129,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,United States,NA,4,56,Tam Wing C
10377,35,100,2,Shipped,Classic Cars,141,S18_1129,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,NA,21240,Finland,EMEA,3,86,Karttunen Matti
10390,36,93.77,14,Shipped,Classic Cars,141,S18_1129,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,2,57,Nelson Valarie
10406,61,100,3,Disputed,Classic Cars,141,S18_1129,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,NA,1734,Denmark,EMEA,1,28,Petersen Jytte
10419,38,100,5,Shipped,Classic Cars,141,S18_1129,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,NA,5020,Austria,EMEA,0,72,Pipps Georg
10102,39,100,2,Shipped,Vintage Cars,102,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd.,New York,NY,10022,United States,NA,28,90,Frick Michael
10111,33,99.66,6,Shipped,Vintage Cars,102,S18_1342,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,26,58,Murphy Julie
10125,32,100,1,Shipped,Vintage Cars,102,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,24,6,Ferguson Peter
10139,31,100,7,Shipped,Vintage Cars,102,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,22,77,Huxley Adrian
10149,50,100,4,Shipped,Vintage Cars,102,S18_1342,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,CA,94217,United States,NA,20,75,Taylor Sue
10162,48,91.44,2,Shipped,Vintage Cars,102,S18_1342,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10173,43,100,6,Shipped,Vintage Cars,102,S18_1342,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,NA,24100,Italy,EMEA,18,69,Rovelli Giovanni
10182,25,87.33,3,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,18,57,Nelson Valarie
10193,28,100,7,Shipped,Vintage Cars,102,S18_1342,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,APAC,18,5,Connery Sean
10205,36,100,2,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,17,34,Freyre Diego
10215,27,89.38,10,Shipped,Vintage Cars,102,S18_1342,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,United States,NA,16,92,Thompson Steve
10227,25,100,3,Shipped,Vintage Cars,102,S18_1342,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,NA,69004,France,EMEA,14,73,Saveley Mary
10244,40,100,7,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,13,34,Freyre Diego
10256,34,95.55,2,Shipped,Vintage Cars,102,S18_1342,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,NA,1734,Denmark,EMEA,11,28,Petersen Jytte
10280,50,100,9,Shipped,Vintage Cars,102,S18_1342,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,NA,10100,Italy,EMEA,9,2,Accorti Paolo
10289,38,100,2,Shipped,Vintage Cars,102,S18_1342,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,8,42,Oeztan Veysel
10304,37,95.55,13,Shipped,Vintage Cars,102,S18_1342,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,NA,78000,France,EMEA,7,8,Tonini Daniel
10312,43,89.38,10,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,7,57,Nelson Valarie
10322,43,86.3,14,Shipped,Vintage Cars,102,S18_1342,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,6,62,Young Valarie
10332,46,95.13,15,Shipped,Vintage Cars,102,S18_1342,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,NA,EC2 5NT,United Kingdom,EMEA,6,11,Ashworth Victoria
10346,42,36.11,3,Shipped,Vintage Cars,102,S18_1342,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,United States,NA,6,76,King Sue
10356,50,50.18,9,Shipped,Vintage Cars,102,S18_1342,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,5,48,Da Cunha Daniel
10369,44,100,8,Shipped,Vintage Cars,102,S18_1342,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Houston,MA,58339,United States,NA,4,23,Nelson Allen
10380,27,93.16,13,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,3,34,Freyre Diego
10391,35,100,2,Shipped,Vintage Cars,102,S18_1342,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Sydney,NSW,2060,Australia,APAC,2,3,O'Hara Anna
10422,51,95.55,2,In Process,Vintage Cars,102,S18_1342,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,0,29,Yu Kyung
10102,41,50.14,1,Shipped,Vintage Cars,53,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,New York,NY,10022,United States,NA,28,90,Frick Michael
10111,48,49.06,5,Shipped,Vintage Cars,53,S18_1367,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,NA,United States,NA,26,58,Murphy Julie
10126,42,54.99,17,Shipped,Vintage Cars,53,S18_1367,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,NA,28023,Spain,EMEA,24,25,Sommer Mart<a1>n
10139,49,43.13,6,Shipped,Vintage Cars,53,S18_1367,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,22,77,Huxley Adrian
10149,30,58.22,3,Shipped,Vintage Cars,53,S18_1367,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,CA,94217,United States,NA,20,75,Taylor Sue
10162,45,51.21,1,Shipped,Vintage Cars,53,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10173,48,44.21,5,Shipped,Vintage Cars,53,S18_1367,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,NA,24100,Italy,EMEA,18,69,Rovelli Giovanni
10182,32,54.45,2,Shipped,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,18,57,Nelson Valarie
10193,46,53.37,6,Shipped,Vintage Cars,53,S18_1367,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,APAC,18,5,Connery Sean
10205,48,63.61,1,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,17,34,Freyre Diego
10215,33,43.13,9,Shipped,Vintage Cars,53,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,United States,NA,16,92,Thompson Steve
10227,31,48.52,2,Shipped,Vintage Cars,53,S18_1367,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,NA,69004,France,EMEA,14,73,Saveley Mary
10244,20,58.22,6,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,13,34,Freyre Diego
10256,29,51.75,1,Shipped,Vintage Cars,53,S18_1367,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,NA,1734,Denmark,EMEA,11,28,Petersen Jytte
10280,27,57.68,8,Shipped,Vintage Cars,53,S18_1367,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,NA,10100,Italy,EMEA,9,2,Accorti Paolo
10289,24,56.07,1,Shipped,Vintage Cars,53,S18_1367,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,8,42,Oeztan Veysel
10304,37,48.52,12,Shipped,Vintage Cars,53,S18_1367,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,NA,78000,France,EMEA,7,8,Tonini Daniel
10312,25,44.21,9,Shipped,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,7,57,Nelson Valarie
10322,41,57.68,5,Shipped,Vintage Cars,53,S18_1367,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,6,62,Young Valarie
10332,27,89.89,16,Shipped,Vintage Cars,53,S18_1367,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,NA,EC2 5NT,United Kingdom,EMEA,6,11,Ashworth Victoria
10347,21,58.95,7,Shipped,Vintage Cars,53,S18_1367,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,6,6,Ferguson Peter
10356,22,72.41,6,Shipped,Vintage Cars,53,S18_1367,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,NA,75508,France,EMEA,5,48,Da Cunha Daniel
10369,32,98.63,7,Shipped,Vintage Cars,53,S18_1367,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Houston,MA,58339,United States,NA,4,23,Nelson Allen
10381,25,52.83,9,Shipped,Vintage Cars,53,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,3,24,Brown Julie
10391,42,100,3,Shipped,Vintage Cars,53,S18_1367,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Sydney,NSW,2060,Australia,APAC,2,3,O'Hara Anna
10422,25,51.75,1,In Process,Vintage Cars,53,S18_1367,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,United States,NA,0,29,Yu Kyung
10110,37,100,16,Shipped,Classic Cars,124,S18_1589,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,NA,EC2 5NT,United Kingdom,EMEA,26,11,Ashworth Victoria
10123,26,100,2,Shipped,Classic Cars,124,S18_1589,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,NA,44000,France,EMEA,24,4,Schmitt Carine
10137,44,99.55,2,Shipped,Classic Cars,124,S18_1589,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,NA,51100,France,EMEA,22,68,Henriot Paul
10148,47,100,9,Shipped,Classic Cars,124,S18_1589,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Sydney,NSW,2060,Australia,APAC,20,3,O'Hara Anna
10161,43,100,8,Shipped,Classic Cars,124,S18_1589,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,NA,8200,Denmark,EMEA,19,41,Ibsen Palle
10172,42,100,6,Shipped,Classic Cars,124,S18_1589,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,United States,NA,18,36,King Julie
10181,42,100,2,Shipped,Classic Cars,124,S18_1589,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,18,42,Oeztan Veysel
10192,29,100,7,Shipped,Classic Cars,124,S18_1589,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,18,62,Young Valarie
10204,40,100,13,Shipped,Classic Cars,124,S18_1589,Muscle Machine Inc,2125557413,4092 Furth Circle,New York,NY,10022,United States,NA,17,60,Young Jeff
10212,38,100,6,Shipped,Classic Cars,124,S18_1589,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,16,34,Freyre Diego
10226,38,100,4,Shipped,Classic Cars,124,S18_1589,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,United States,NA,15,22,Thompson Valarie
10241,21,100,11,Shipped,Classic Cars,124,S18_1589,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,NA,67000,France,EMEA,13,54,Citeaux Frederique
10253,24,100,1,Cancelled,Classic Cars,124,S18_1589,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,NA,WX1 6LT,United Kingdom,EMEA,11,88,Devon Elizabeth
10266,36,100,2,Shipped,Classic Cars,124,S18_1589,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,NA,42100,Italy,EMEA,10,44,Moroni Maurizio
10278,23,100,2,Shipped,Classic Cars,124,S18_1589,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,United States,NA,9,76,King Sue
10288,20,100,14,Shipped,Classic Cars,124,S18_1589,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,NA,69045,Singapore,APAC,8,40,Victorino Wendy
10301,32,100,4,Shipped,Classic Cars,124,S18_1589,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,NA,N 0106,Norway,EMEA,19,61,Klaeboe Jan
10311,29,100,9,Shipped,Classic Cars,124,S18_1589,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,7,34,Freyre Diego
10321,44,100,6,Shipped,Classic Cars,124,S18_1589,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,United States,NA,6,35,Benitez Violeta
10331,44,100,14,Shipped,Classic Cars,124,S18_1589,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,United States,NA,6,59,Hernandez Rosa
10343,36,100,4,Shipped,Classic Cars,124,S18_1589,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,NA,51100,France,EMEA,6,68,Henriot Paul
10367,49,56.3,1,Resolved,Classic Cars,124,S18_1589,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,United States,NA,4,87,Young Julie
10378,34,42.64,5,Shipped,Classic Cars,124,S18_1589,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,3,34,Freyre Diego
10407,59,100,11,On Hold,Classic Cars,124,S18_1589,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,United States,NA,1,83,Frick Sue
10419,37,100,1,Shipped,Classic Cars,124,S18_1589,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,NA,5020,Austria,EMEA,0,72,Pipps Georg
10106,36,100,12,Shipped,Planes,157,S18_1662,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,NA,24100,Italy,EMEA,27,69,Rovelli Giovanni
10119,43,100,3,Shipped,Planes,157,S18_1662,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,NA,5020,Austria,EMEA,25,72,Pipps Georg
10131,21,100,4,Shipped,Planes,157,S18_1662,Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,CT,97561,United States,NA,23,37,Lewis Dan
10143,32,100,7,Shipped,Planes,157,S18_1662,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,United States,NA,21,56,Tam Wing C
10155,38,100,5,Shipped,Planes,157,S18_1662,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,NA,21240,Finland,EMEA,19,86,Karttunen Matti
10167,43,100,1,Cancelled,Planes,157,S18_1662,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,NA,S-844 67,Sweden,EMEA,19,74,Larsson Maria
10178,42,100,4,Shipped,Planes,157,S18_1662,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,NA,31000,France,EMEA,18,1,Roulet Annette
10186,32,100,1,Shipped,Planes,157,S18_1662,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,NA,WA1 1DP,United Kingdom,EMEA,18,31,Hardy Thomas
10198,42,100,4,Shipped,Planes,157,S18_1662,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,NA,1227 MM,Philippines,Japan,18,26,Cruz Arnold
10210,31,100,17,Shipped,Planes,157,S18_1662,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,16,64,Kentary Mory
10222,49,100,4,Shipped,Planes,157,S18_1662,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,United States,NA,15,22,Thompson Valarie
10250,45,100,14,Shipped,Planes,157,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,United States,NA,12,83,Frick Sue
10262,49,100,9,Cancelled,Planes,157,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,11,34,Freyre Diego
10274,41,100,1,Shipped,Planes,157,S18_1662,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Houston,MA,58339,United States,NA,10,23,Nelson Allen
10284,45,100,11,Shipped,Planes,157,S18_1662,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,NA,N 0106,Norway,EMEA,9,61,Klaeboe Jan
10296,36,100,7,Shipped,Planes,157,S18_1662,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Munich,NA,80686,Germany,EMEA,8,13,Donnermeyer Michael
10307,39,100,1,Shipped,Planes,157,S18_1662,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,United States,NA,7,19,Cervantes Francisca
10316,27,100,9,Shipped,Planes,157,S18_1662,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,United Kingdom,EMEA,6,39,Bennett Helen
10327,25,100,6,Resolved,Planes,157,S18_1662,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,NA,1734,Denmark,EMEA,6,28,Petersen Jytte
10338,41,100,1,Shipped,Planes,157,S18_1662,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,NA,B-6000,Belgium,EMEA,6,71,Cartrain Pascale
10351,39,99.52,1,Shipped,Planes,157,S18_1662,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,NA,WX3 6FW,United Kingdom,EMEA,5,78,Brown Ann
10373,28,57.55,4,Shipped,Planes,157,S18_1662,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,NA,90110,Finland,EMEA,4,65,Koskitalo Pirkko
10386,25,54.57,7,Resolved,Planes,157,S18_1662,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,2,34,Freyre Diego
10398,33,100,11,Shipped,Planes,157,S18_1662,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,NA,51100,France,EMEA,2,68,Henriot Paul
10400,34,100,1,Shipped,Planes,157,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,United States,NA,1,83,Frick Sue
10416,24,100,14,Shipped,Planes,157,S18_1662,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,NA,42100,Italy,EMEA,0,44,Moroni Maurizio
10100,30,100,3,Shipped,Vintage Cars,170,S18_1749,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,28,62,Young Valarie
10110,42,100,7,Shipped,Vintage Cars,170,S18_1749,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,NA,EC2 5NT,United Kingdom,EMEA,26,11,Ashworth Victoria
10124,21,100,6,Shipped,Vintage Cars,170,S18_1749,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,United States,NA,24,76,King Sue
10149,34,100,11,Shipped,Vintage Cars,170,S18_1749,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,CA,94217,United States,NA,20,75,Taylor Sue
10162,29,100,9,Shipped,Vintage Cars,170,S18_1749,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,NA,United States,NA,19,24,Brown Julie
10173,24,100,13,Shipped,Vintage Cars,170,S18_1749,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,NA,24100,Italy,EMEA,18,69,Rovelli Giovanni
10182,44,100,10,Shipped,Vintage Cars,170,S18_1749,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,18,57,Nelson Valarie
10193,21,100,14,Shipped,Vintage Cars,170,S18_1749,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,APAC,18,5,Connery Sean
10204,33,100,4,Shipped,Vintage Cars,170,S18_1749,Muscle Machine Inc,2125557413,4092 Furth Circle,New York,NY,10022,United States,NA,17,60,Young Jeff
10214,30,100,7,Shipped,Vintage Cars,170,S18_1749,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,NA,28023,Spain,EMEA,16,25,Sommer Mart<a1>n
10227,26,100,10,Shipped,Vintage Cars,170,S18_1749,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,NA,69004,France,EMEA,14,73,Saveley Mary
10241,41,100,2,Shipped,Vintage Cars,170,S18_1749,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,NA,67000,France,EMEA,13,54,Citeaux Frederique
10280,26,100,16,Shipped,Vintage Cars,170,S18_1749,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,NA,10100,Italy,EMEA,9,2,Accorti Paolo
10288,32,100,5,Shipped,Vintage Cars,170,S18_1749,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,NA,69045,Singapore,APAC,8,40,Victorino Wendy
10302,43,100,1,Shipped,Vintage Cars,170,S18_1749,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,NA,WX1 6LT,United Kingdom,EMEA,19,88,Devon Elizabeth
10312,48,100,17,Shipped,Vintage Cars,170,S18_1749,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,7,57,Nelson Valarie
10331,44,74.04,7,Shipped,Vintage Cars,170,S18_1749,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,United States,NA,6,59,Hernandez Rosa
10344,45,100,1,Shipped,Vintage Cars,170,S18_1749,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,NA,13008,France,EMEA,6,49,Lebihan Laurence
10367,37,100,3,Resolved,Vintage Cars,170,S18_1749,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,United States,NA,4,87,Young Julie
10379,39,100,2,Shipped,Vintage Cars,170,S18_1749,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,3,34,Freyre Diego
10407,76,100,2,On Hold,Vintage Cars,170,S18_1749,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,United States,NA,1,83,Frick Sue
10420,37,100,5,In Process,Vintage Cars,170,S18_1749,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Sydney,NSW,2067,Australia,APAC,0,77,Huxley Adrian
10108,38,82.39,2,Shipped,Classic Cars,77,S18_1889,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,NA,1227 MM,Philippines,Japan,26,26,Cruz Arnold
10122,43,72.38,6,Shipped,Classic Cars,77,S18_1889,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,NA,13008,France,EMEA,24,49,Lebihan Laurence
10135,48,79.31,3,Shipped,Classic Cars,77,S18_1889,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,United States,NA,22,57,Nelson Valarie
10147,26,82.39,3,Shipped,Classic Cars,77,S18_1889,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Houston,MA,58339,United States,NA,20,23,Nelson Allen
10160,38,88.55,4,Shipped,Classic Cars,77,S18_1889,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,NA,United States,NA,19,51,Chandler Michael
10170,20,63.14,2,Shipped,Classic Cars,77,S18_1889,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,NA,8010,Austria,EMEA,18,53,Mendel Roland
10181,22,73.92,10,Shipped,Classic Cars,77,S18_1889,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,NA,N 5804,Norway,EMEA,18,42,Oeztan Veysel
10192,45,90.86,15,Shipped,Classic Cars,77,S18_1889,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,United States,NA,18,62,Young Valarie
10203,45,85.47,4,Shipped,Classic Cars,77,S18_1889,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,17,34,Freyre Diego
10212,20,66.99,14,Shipped,Classic Cars,77,S18_1889,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,NA,28034,Spain,EMEA,16,34,Freyre Diego
10225,47,64.68,5,Shipped,Classic Cars,77,S18_1889,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,NA,1203,Switzerland,EMEA,15,89,Holz Michael
10239,46,73.92,4,Shipped,Classic Cars,77,S18_1889,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,NA,90110,Finland,EMEA,13,65,Koskitalo Pirkko
10253,23,83.93,9,Cancelled,Classic Cars,77,S18_1889,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,NA,WX1 6LT,United Kingdom,EMEA,11,88,Devon Elizabeth
10266,33,74.69,10,Shipped,Classic Cars,77,S18_1889,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,NA,42100,Italy,EMEA,10,44,Moroni Maurizio
10278,29,90.86,10,Shipped,Classic Cars,77,S18_1889,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,United States,NA,9,76,King Sue
10287,44,82.39,8,Shipped,Classic Cars,77,S18_1889,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,NA,1203,Switzerland,EMEA,9,89,Holz Michael
